country_name_short;country_name;election_type;election_date;vote_share;seats;seats_total;party_name_short;party_name;party_name_english;left_right;country_id;election_id;previous_parliament_election_id;previous_cabinet_id;party_id
AUT;Austria;parliament;15.10.2017;31,5;62;183;OVP;Österreichische Volkspartei;Austrian People's Party;6,4733;59;1019;802;1485;1013
AUT;Austria;parliament;15.10.2017;26,9;52;183;SPO;Sozialdemokratische Partei Österreichs;Social Democratic Party of Austria;3,7293;59;1019;802;1485;973
AUT;Austria;parliament;15.10.2017;26;51;183;FPO;Freiheitliche Partei Österreichs;Freedom Party of Austria;8,3494;59;1019;802;1485;50
AUT;Austria;parliament;15.10.2017;5,3;10;183;NEOS;NEOS – Das Neue Österreich;NEOS -- The New Austria;6;59;1019;802;1485;2255
AUT;Austria;parliament;15.10.2017;4,4;8;183;PILZ;Liste Peter Pilz;Peter Pilz List;2,5;59;1019;802;1485;2651
AUT;Austria;parliament;15.10.2017;3,8;0;183;Gruene;Die Grünen – Die Grüne Alternative;The Greens -- The Green Alternative;2,4604;59;1019;802;1485;1429
AUT;Austria;parliament;15.10.2017;1;0;183;GILT;Liste Roland Düringer – Meine Stimme GILT;My Vote Counts!;;59;1019;802;1485;2652
BEL;Belgium;parliament;25.05.2014;20,26;33;150;N-VA;Nieuw-Vlaamse Alliantie;New Flemish Alliance;6,5321;64;816;486;987;501
BEL;Belgium;parliament;25.05.2014;11,67;23;150;PS;Parti Socialiste;Socialist Party [Francophone];2,9307;64;816;486;987;1378
BEL;Belgium;parliament;25.05.2014;9,64;20;150;MR;Mouvement Réformateur;Reformist Movement;6,6889;64;816;486;987;915
BEL;Belgium;parliament;25.05.2014;11,61;18;150;CVP;Christelijke Volkspartij;Flemish Christian Peoples Party;5,7667;64;816;486;987;723
BEL;Belgium;parliament;25.05.2014;9,78;14;150;PVV|VLD;Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten;Party of Liberty and Progress | Flemish Liberals and Democrats;7,0053;64;816;486;987;1110
BEL;Belgium;parliament;25.05.2014;8,83;13;150;SP;Socialistische Partij;Socialist Party;3,2459;64;816;486;987;1029
BEL;Belgium;parliament;25.05.2014;4,98;9;150;PSC-CDH;Parti Social Chrétien – Centre Democrate Humaniste;Francophone Christian Social Party -- Humanist Democratic Centre;5,4974;64;816;486;987;1192
BEL;Belgium;parliament;25.05.2014;5,32;6;150;AGL-Gr;Agalev – Groen;Agalev -- Green;2,5762;64;816;486;987;1594
BEL;Belgium;parliament;25.05.2014;3,3;6;150;Ecolo;Écologistes Confédérés pour l'organisation de luttes originales;Confederated ecologists for the organisation of original struggles;2,641;64;816;486;987;161
BEL;Belgium;parliament;25.05.2014;3,67;3;150;VB;Vlaams Blok;Flemish Block;9,6622;64;816;486;987;993
BEL;Belgium;parliament;25.05.2014;3,72;2;150;PA-PTB;Partij van de Arbeid – Parti du Travail de Belgique;Workers' Party of Belgium;1,2;64;816;486;987;256
BEL;Belgium;parliament;25.05.2014;1,8;2;150;FDF;Front Démocratique des Francophones;Francophone Democratic Front;6,1259;64;816;486;987;969
BEL;Belgium;parliament;25.05.2014;1,52;1;150;Pp;Parti populaire;People's Party;7,4;64;816;486;987;438
BEL;Belgium;parliament;25.05.2014;0,86;0;150;DLB;Debout Les Belges!;Belgians, Rise Up!;8,7;64;816;486;987;2368
BGR;Bulgaria;parliament;26.03.2017;33,54;95;240;GERB;Grazhdani za Evropeysko Razvitie na Balgariya;Citizens for European Development of Bulgaria;7,4;10;1011;840;1503;1541
BGR;Bulgaria;parliament;26.03.2017;27,93;80;240;KzB|DL;Koalitsiya za Balgariya | Demokratichna Levitsa;Coalition for Bulgaria | Democratic Left;2,8982;10;1011;840;1503;1160
BGR;Bulgaria;parliament;26.03.2017;9,31;27;240;NFSB;Natsionalen Front za Spasenie na Balgariya;National Front for the Salvation of Bulgaria;8,7;10;1011;840;1503;2211
BGR;Bulgaria;parliament;26.03.2017;9,24;26;240;DPS;Dvizhenie za Prava i Svobodi;Movement for Rights and Freedoms;4,5828;10;1011;840;1503;1286
BGR;Bulgaria;parliament;26.03.2017;4,26;12;240;Volya;Volya;Will;6;10;1011;840;1503;2637
BGR;Bulgaria;parliament;26.03.2017;3,14;0;240;RB;Reformatorski Blok;Reformist Bloc;7,4;10;1011;840;1503;2363
BGR;Bulgaria;parliament;26.03.2017;2,54;0;240;DSB;Demokrati za Silna Balgariya;Democrats for a Strong Bulgaria;7,85;10;1011;840;1503;57
BGR;Bulgaria;parliament;26.03.2017;2,96;0;240;DB;Da Bulgaria;Yes, Bulgaria!;6;10;1011;840;1503;2638
BGR;Bulgaria;parliament;26.03.2017;2,94;0;240;DOST;Demokrati za Otgovornost, Svoboda i Tolerantnost;Democrats for Responsibility, Solidarity and Tolerance;6;10;1011;840;1503;2639
BGR;Bulgaria;parliament;26.03.2017;1,59;0;240;ABV;Alternativa za balgarsko vazrazhdane;Alternative for Bulgarian Revival;3,3;10;1011;840;1503;2364
BGR;Bulgaria;parliament;26.03.2017;1,11;0;240;R;Vazrazhdane;Revival;8,7;10;1011;840;1503;2640
CYP;Cyprus;parliament;22.05.2016;30,69;18;56;DISY;Dimokratikós Sinayermós;Democratic Rally;8,6842;51;1004;701;1086;1575
CYP;Cyprus;parliament;22.05.2016;25,67;16;56;AKEL;Anorthotikó Kómma Ergazómenou Laoú;Progressive Party of Working People;1,0526;51;1004;701;1086;572
CYP;Cyprus;parliament;22.05.2016;14,49;9;56;DIKO;Dimokratikó Kómma;Democratic Party;5,1316;51;1004;701;1086;851
CYP;Cyprus;parliament;22.05.2016;6,18;3;56;EDEK;Kinima Sosialdimokraton EDEK;Movement for Social Democracy EDEK;3,2895;51;1004;701;1086;945
CYP;Cyprus;parliament;22.05.2016;6,01;3;56;SYM;Symmaxia;Citizen's Alliance;3,3;51;1004;701;1086;2341
CYP;Cyprus;parliament;22.05.2016;5,24;3;56;KINHMA;Kinima Allileggiis;Solidarity Movement;8,7;51;1004;701;1086;2626
CYP;Cyprus;parliament;22.05.2016;4,81;2;56;KOP;Kinima Oikologoi Perivallontistoi;Ecological and Environmental Movement;5,7895;51;1004;701;1086;1621
CYP;Cyprus;parliament;22.05.2016;3,71;2;56;ELAM;Ethniko Laiko Metopo;National Popular Front;8,7;51;1004;701;1086;1768
CYP;Cyprus;parliament;22.05.2016;1,16;0;56;KGTZTK;Kinima gia ta zoa tis Kiprou;Animal Party Cyprus;;51;1004;701;1086;2627
CZE;Czech Republic;parliament;21.10.2017;29,64;78;200;ANO;Akce nespokojených občanů;Action of Dissatisfied Citizens;6;68;1020;805;1072;2263
CZE;Czech Republic;parliament;21.10.2017;11,32;25;200;ODS;Občanská demokratická strana;Civic Democratic Party;7,3637;68;1020;805;1072;829
CZE;Czech Republic;parliament;21.10.2017;10,79;22;200;Pi;Ceska piratska strana;Czech Pirate Party;;68;1020;805;1072;2261
CZE;Czech Republic;parliament;21.10.2017;10,64;22;200;SPD;Svoboda a přímá demokracie Tomio Okamura;Freedom and Direct Democracy Tomio Okamura;8,7;68;1020;805;1072;2654
CZE;Czech Republic;parliament;21.10.2017;7,27;15;200;CSSD;Česká strana sociálně demokratická;Czech Social Democratic Party;3,0463;68;1020;805;1072;789
CZE;Czech Republic;parliament;21.10.2017;7,76;15;200;KSCM;Komunistická strana Cech a Moravy;Communist Party of Bohemia and Moravia;0,7498;68;1020;805;1072;1173
CZE;Czech Republic;parliament;21.10.2017;5,8;10;200;KDU-CSL;Křesťanská a demokratická unie – Československá strana lidová;Christian Democratic Union -- People's Party;5,8099;68;1020;805;1072;1245
CZE;Czech Republic;parliament;21.10.2017;5,31;7;200;TOP09;Tradice Odpovědnost Prosperita 09;Tradition Responsibility Prosperity 09;7,4;68;1020;805;1072;2
CZE;Czech Republic;parliament;21.10.2017;5,18;6;200;STAN;Starostové a nezávislí;Mayors and Independents;;68;1020;805;1072;2024
CZE;Czech Republic;parliament;21.10.2017;1,46;0;200;SZ;Strana zelených;Green Party;4,123;68;1020;805;1072;196
CZE;Czech Republic;parliament;21.10.2017;1,56;0;200;SSO;Strana svobodných občanů;Party of Free Citizens;7,4;68;1020;805;1072;363
