country_name_short;country_name;election_type;election_date;vote_share;seats;seats_total;party_name_short;party_name;party_name_english;left_right;country_id;election_id;previous_parliament_election_id;previous_cabinet_id;party_id
AUT;Austria;parliament;2019-09-29;37,5;71;183;OVP;Österreichische Volkspartei;Austrian People's Party;6,4733;59;1080;1019;1600;1013
AUT;Austria;parliament;2019-09-29;21,2;40;183;SPO;Sozialdemokratische Partei Österreichs;Social Democratic Party of Austria;3,7293;59;1080;1019;1600;973
AUT;Austria;parliament;2019-09-29;16,2;31;183;FPO;Freiheitliche Partei Österreichs;Freedom Party of Austria;8,3494;59;1080;1019;1600;50
AUT;Austria;parliament;2019-09-29;13,9;26;183;Gruene;Die Grünen – Die Grüne Alternative;The Greens -- The Green Alternative;2,4604;59;1080;1019;1600;1429
AUT;Austria;parliament;2019-09-29;8,1;15;183;NEOS;NEOS – Das Neue Österreich;NEOS -- The New Austria;6;59;1080;1019;1600;2255
AUT;Austria;parliament;2019-09-29;1,9;0;183;PILZ;JETZT – Liste Pilz;JETZT -- Pilz List;2,5;59;1080;1019;1600;2651
BEL;Belgium;parliament;2019-05-26;16,03;25;150;N-VA;Nieuw-Vlaamse Alliantie;New Flemish Alliance;6,5321;64;1048;816;1586;501
BEL;Belgium;parliament;2019-05-26;9,46;20;150;PS;Parti Socialiste;Socialist Party [Francophone];2,9307;64;1048;816;1586;1378
BEL;Belgium;parliament;2019-05-26;11,95;18;150;VB;Vlaams Blok;Flemish Block;9,6622;64;1048;816;1586;993
BEL;Belgium;parliament;2019-05-26;7,56;14;150;MR;Mouvement Réformateur;Reformist Movement;6,6889;64;1048;816;1586;915
BEL;Belgium;parliament;2019-05-26;6,14;13;150;Ecolo;Écologistes Confédérés pour l'organisation de luttes originales;Confederated ecologists for the organisation of original struggles;2,641;64;1048;816;1586;161
BEL;Belgium;parliament;2019-05-26;8,54;12;150;PVV|VLD;Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten;Party of Liberty and Progress | Flemish Liberals and Democrats;7,0053;64;1048;816;1586;1110
BEL;Belgium;parliament;2019-05-26;8,89;12;150;CVP|CD&V;Christelijke Volkspartij | Christen-Democratisch en Vlaams;Flemish Christian Peoples Party | Christian Democrats & Flemish;5,7667;64;1048;816;1586;723
BEL;Belgium;parliament;2019-05-26;8,62;12;150;PA-PTB;Partij van de Arbeid – Parti du Travail de Belgique;Workers' Party of Belgium;1,3;64;1048;816;1586;256
BEL;Belgium;parliament;2019-05-26;6,71;9;150;SP;Socialistische Partij;Socialist Party;3,2459;64;1048;816;1586;1029
BEL;Belgium;parliament;2019-05-26;6,1;8;150;AGL-Gr;Agalev – Groen;Agalev -- Green;2,5762;64;1048;816;1586;1594
BEL;Belgium;parliament;2019-05-26;3,7;5;150;PSC-CDH;Parti Social Chrétien – Centre Democrate Humaniste;Francophone Christian Social Party -- Humanist Democratic Centre;5,4974;64;1048;816;1586;1192
BEL;Belgium;parliament;2019-05-26;2,22;2;150;FDF;Front Démocratique des Francophones | DéFI;Francophone Democratic Front;6,1259;64;1048;816;1586;969
BEL;Belgium;parliament;2019-05-26;1,11;0;150;Pp;Parti populaire;People's Party;7,4;64;1048;816;1586;438
BGR;Bulgaria;parliament;2017-03-26;33,54;95;240;GERB;Grazhdani za Evropeysko Razvitie na Balgariya;Citizens for European Development of Bulgaria;7,4;10;1011;840;1503;1541
BGR;Bulgaria;parliament;2017-03-26;27,93;80;240;KzB|DL;Koalitsiya za Balgariya | Demokratichna Levitsa;Coalition for Bulgaria | Democratic Left;2,8982;10;1011;840;1503;1160
BGR;Bulgaria;parliament;2017-03-26;9,31;27;240;NFSB;Natsionalen Front za Spasenie na Balgariya;National Front for the Salvation of Bulgaria;8,8;10;1011;840;1503;2211
BGR;Bulgaria;parliament;2017-03-26;9,24;26;240;DPS;Dvizhenie za Prava i Svobodi;Movement for Rights and Freedoms;4,5828;10;1011;840;1503;1286
BGR;Bulgaria;parliament;2017-03-26;4,26;12;240;Volya;Volya;Will;6;10;1011;840;1503;2637
BGR;Bulgaria;parliament;2017-03-26;3,14;0;240;RB;Reformatorski Blok;Reformist Bloc;7,4;10;1011;840;1503;2363
BGR;Bulgaria;parliament;2017-03-26;2,54;0;240;DSB;Demokrati za Silna Balgariya;Democrats for a Strong Bulgaria;7,85;10;1011;840;1503;57
BGR;Bulgaria;parliament;2017-03-26;2,96;0;240;DB;Da Bulgaria;Yes, Bulgaria!;6;10;1011;840;1503;2638
BGR;Bulgaria;parliament;2017-03-26;2,94;0;240;DOST;Demokrati za Otgovornost, Svoboda i Tolerantnost;Democrats for Responsibility, Solidarity and Tolerance;6;10;1011;840;1503;2639
BGR;Bulgaria;parliament;2017-03-26;1,59;0;240;ABV;Alternativa za balgarsko vazrazhdane;Alternative for Bulgarian Revival;3,3;10;1011;840;1503;2364
BGR;Bulgaria;parliament;2017-03-26;1,11;0;240;R;Vazrazhdane;Revival;8,8;10;1011;840;1503;2640
CYP;Cyprus;parliament;2016-05-22;30,69;18;56;DISY;Dimokratikós Sinayermós;Democratic Rally;8,6842;51;1004;701;1086;1575
CYP;Cyprus;parliament;2016-05-22;25,67;16;56;AKEL;Anorthotikó Kómma Ergazómenou Laoú;Progressive Party of Working People;1,0526;51;1004;701;1086;572
CYP;Cyprus;parliament;2016-05-22;14,49;9;56;DIKO;Dimokratikó Kómma;Democratic Party;5,1316;51;1004;701;1086;851
CYP;Cyprus;parliament;2016-05-22;6,18;3;56;EDEK;Kinima Sosialdimokraton EDEK;Movement for Social Democracy EDEK;3,2895;51;1004;701;1086;945
CYP;Cyprus;parliament;2016-05-22;6,01;3;56;SYM;Symmaxia;Citizen's Alliance;3,3;51;1004;701;1086;2341
CYP;Cyprus;parliament;2016-05-22;5,24;3;56;KINHMA;Kinima Allileggiis;Solidarity Movement;8,8;51;1004;701;1086;2626
CYP;Cyprus;parliament;2016-05-22;4,81;2;56;KOP;Kinima Oikologoi Perivallontistoi;Ecological and Environmental Movement;5,7895;51;1004;701;1086;1621
CYP;Cyprus;parliament;2016-05-22;3,71;2;56;ELAM;Ethniko Laiko Metopo;National Popular Front;8,8;51;1004;701;1086;1768
CYP;Cyprus;parliament;2016-05-22;1,16;0;56;KGTZTK;Kinima gia ta zoa tis Kiprou;Animal Party Cyprus;;51;1004;701;1086;2627
CZE;Czech Republic;parliament;2017-10-21;29,64;78;200;ANO;Akce nespokojených občanů;Action of Dissatisfied Citizens;6;68;1020;805;1072;2263
CZE;Czech Republic;parliament;2017-10-21;11,32;25;200;ODS;Občanská demokratická strana;Civic Democratic Party;7,3637;68;1020;805;1072;829
CZE;Czech Republic;parliament;2017-10-21;10,79;22;200;Pi;Ceska piratska strana;Czech Pirate Party;;68;1020;805;1072;2261
CZE;Czech Republic;parliament;2017-10-21;10,64;22;200;SPD;Svoboda a přímá demokracie Tomio Okamura;Freedom and Direct Democracy Tomio Okamura;8,8;68;1020;805;1072;2654
CZE;Czech Republic;parliament;2017-10-21;7,27;15;200;CSSD;Česká strana sociálně demokratická;Czech Social Democratic Party;3,0463;68;1020;805;1072;789
CZE;Czech Republic;parliament;2017-10-21;7,76;15;200;KSCM;Komunistická strana Cech a Moravy;Communist Party of Bohemia and Moravia;0,7498;68;1020;805;1072;1173
CZE;Czech Republic;parliament;2017-10-21;5,8;10;200;KDU-CSL;Křesťanská a demokratická unie – Československá strana lidová;Christian Democratic Union -- People's Party;5,8099;68;1020;805;1072;1245
CZE;Czech Republic;parliament;2017-10-21;5,31;7;200;TOP09;Tradice Odpovědnost Prosperita 09;Tradition Responsibility Prosperity 09;7,4;68;1020;805;1072;2
CZE;Czech Republic;parliament;2017-10-21;5,18;6;200;STAN;Starostové a nezávislí;Mayors and Independents;;68;1020;805;1072;2024
CZE;Czech Republic;parliament;2017-10-21;1,46;0;200;SZ;Strana zelených;Green Party;4,123;68;1020;805;1072;196
CZE;Czech Republic;parliament;2017-10-21;1,56;0;200;SSO;Strana svobodných občanů;Party of Free Citizens;8,8;68;1020;805;1072;363
DEU;Germany;parliament;2017-09-24;26,8;200;709;CDU;Christlich Demokratische Union;Christian Democratic Union;6,2503;54;1016;800;1071;808
DEU;Germany;parliament;2017-09-24;20,5;153;709;SPD;Sozialdemokratische Partei Deutschlands;Social Democratic Party of Germany;3,6451;54;1016;800;1071;558
DEU;Germany;parliament;2017-09-24;12,6;94;709;AfD;Alternative für Deutschland;Alternative for Germany;8,8;54;1016;800;1071;2253
DEU;Germany;parliament;2017-09-24;10,7;80;709;FDP;Freie Demokratische Partei;Free Democratic Party;5,9233;54;1016;800;1071;543
DEU;Germany;parliament;2017-09-24;9,2;69;709;PDS|Li;PDS | Die Linke;PDS | The Left;1,2152;54;1016;800;1071;791
DEU;Germany;parliament;2017-09-24;8,9;67;709;B90/Gru;Bündnis 90 / Die Grünen;Alliance 90 / Greens;2,9308;54;1016;800;1071;772
DEU;Germany;parliament;2017-09-24;6,2;46;709;CSU;Christlich Soziale Union;Christian Social Union;7,2871;54;1016;800;1071;1180
DEU;Germany;parliament;2017-09-24;1;0;709;FW;Freie Wähler;Free Voters;7,4;54;1016;800;1071;41
DEU;Germany;parliament;2017-09-24;1;0;709;PARTEI;Die PARTEI;The PARTY;;54;1016;800;1071;2649
DNK;Denmark;parliament;2019-06-05;25,9;48;179;Sd;Socialdemokraterne;Social Democrats;3,8011;21;1077;976;1497;1629
DNK;Denmark;parliament;2019-06-05;23,4;43;179;V;Venstre;Liberal Party;7,292;21;1077;976;1497;1605
DNK;Denmark;parliament;2019-06-05;8,6;16;179;RV;Det Radikale Venstre;Danish Social Liberal Party;4,8736;21;1077;976;1497;211
DNK;Denmark;parliament;2019-06-05;8,7;16;179;DF;Dansk Folkeparti;Danish Peoples Party;8,2269;21;1077;976;1497;1418
DNK;Denmark;parliament;2019-06-05;7,7;14;179;SF;Socialistisk Folkeparti;Socialist Peoples Party;2,1347;21;1077;976;1497;1644
DNK;Denmark;parliament;2019-06-05;6,9;13;179;En-O;Enhedslisten – De Rød-Grønne;Red-Green Alliance;0,8912;21;1077;976;1497;306
DNK;Denmark;parliament;2019-06-05;6,6;12;179;KF;Konservative;Conservatives;7,2186;21;1077;976;1497;590
DNK;Denmark;parliament;2019-06-05;3;5;179;A;Alternativet;The Alternative;2,5;21;1077;976;1497;2567
DNK;Denmark;parliament;2019-06-05;2,4;4;179;NB;Nye Borgerlige;The New Right;8,8;21;1077;976;1497;2781
DNK;Denmark;parliament;2019-06-05;2,3;4;179;NLA;Ny-Liberal Alliance;New-Liberal Alliance;6;21;1077;976;1497;376
DNK;Denmark;parliament;2019-06-05;;1;179;Sbf;Sambandsflokkurin;Union Party (Faroe Islands);7,4;21;1077;976;1497;1892
DNK;Denmark;parliament;2019-06-05;;1;179;Jf;Javnaðarflokkurin;Social Democratic Party (Faroe Islands);3,3;21;1077;976;1497;1894
DNK;Denmark;parliament;2019-06-05;;1;179;IA;Inuit Ataqatigiit;Community of the People;1,3;21;1077;976;1497;1891
DNK;Denmark;parliament;2019-06-05;;1;179;Si;Siumut;Forward (Greenland);3,3;21;1077;976;1497;74
DNK;Denmark;parliament;2019-06-05;1,7;0;179;KrF;Kristeligt Folkeparti;Christian People's Party;5,6982;21;1077;976;1497;1331
DNK;Denmark;parliament;2019-06-05;1,8;0;179;SK;Stram Kurs;Hard Line;8,8;21;1077;976;1497;2782
ESP;Spain;parliament;2019-11-10;28;120;350;PSOE;Partido Socialista Obrero Español;Spanish Socialist Workers Party;3,7377;27;1085;1046;1601;902
ESP;Spain;parliament;2019-11-10;20,81;89;350;AP-P;Alianza-Partido Popular;People's Alliance-Party;7,5969;27;1085;1046;1601;645
ESP;Spain;parliament;2019-11-10;15,08;52;350;Vox;Vox;Voice;8,8;27;1085;1046;1601;2380
ESP;Spain;parliament;2019-11-10;9,82;26;350;P;Podemos;We Can;1,3;27;1085;1046;1601;2376
