country_name_short;country_name;election_type;election_date;vote_share;seats;seats_total;party_name_short;party_name;party_name_english;left_right;country_id;election_id;previous_parliament_election_id;previous_cabinet_id;party_id
AUT;Austria;parliament;2008-09-28;29,26;57;183;SPO;Sozialdemokratische Partei Österreichs;Social Democratic Party of Austria;3,729269006;59;607;197;583;973
AUT;Austria;parliament;2008-09-28;25,98;51;183;OVP;Österreichische Volkspartei;Austrian People's Party;6,473318682;59;607;197;583;1013
AUT;Austria;parliament;2008-09-28;17,54;34;183;FPO;Freiheitliche Partei Österreichs;Freedom Party of Austria;8,349366488;59;607;197;583;50
AUT;Austria;parliament;2008-09-28;10,7;21;183;BZO;Bündnis Zukunft Österreich;Alliance for the Future of Austria;8,83;59;607;197;583;1536
AUT;Austria;parliament;2008-09-28;10,43;20;183;GRUENE;Die Grünen – Die grüne Alternative;The Greens -- The Green Alternative;2,460438616;59;607;197;583;1429
AUT;Austria;parliament;2008-09-28;2,09;0;183;LIF;Liberales Forum;Liberal Forum;4,880555532;59;607;197;583;955
AUT;Austria;parliament;2008-09-28;1,76;0;183;Fritz;Bürgerforum Österreich – Liste Fritz Dinkhauser;The Citizens`Forum Austria;;59;607;197;583;1746
BEL;Belgium;parliament;2010-06-13;17,4;27;150;N-VA;Nieuw-Vlaamse Alliantie;New Flemish Alliance;6,53214916;64;486;401;431;501
BEL;Belgium;parliament;2010-06-13;13,7;26;150;PS;Parti Socialiste;Francophone Socialist Party;2,930653039;64;486;401;431;1378
BEL;Belgium;parliament;2010-06-13;9,28;18;150;MR;Mouvement Réformateur;Reformist Movement;6,688912229;64;486;401;431;915
BEL;Belgium;parliament;2010-06-13;10,85;17;150;CD&V;Christen-Democratisch en Vlaams;Christian Democrats & Flemish;5,808943112;64;486;401;431;1310
BEL;Belgium;parliament;2010-06-13;9,24;13;150;SP;Socialistische Partij;Socialist Party;3,24589932;64;486;401;431;1029
BEL;Belgium;parliament;2010-06-13;8,64;13;150;PVV;Partij voor Vrijheid en Vooruitgang;Party of Liberty and Progress;7,005274864;64;486;401;431;1110
BEL;Belgium;parliament;2010-06-13;7,76;12;150;VB;Vlaams Blok;Flemish Block;9,662160601;64;486;401;431;993
BEL;Belgium;parliament;2010-06-13;5,52;9;150;PSC;Parti Social Chrétien;Francophone Christian Social Party;5,497417138;64;486;401;431;1192
